company_id,name,search_rating,review_count,overall_rating,복지/급여,워라밸,사내문화,승진 기회,경영진,기업 추천율,CEO 지지율,성장 가능성,검색기업명
187348,범진건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,범진건설
237379,영경테크(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,영경테크
175187,(주)비티에스이엔지,3.0,1,3.0,3.0,2.0,3.0,3.0,3.0,0%,100%,100%,비티에스이엔지
64364,(주)엔에스브이,3.3,26,3.3,3.6,2.5,2.9,3.1,3.0,54%,76%,31%,엔에스브이
135768,(주)디엔아이씨,3.1,27,3.1,2.8,3.1,3.0,2.6,2.9,56%,59%,15%,디엔아이
340689,(주)태오로지스,2.0,4,2.0,2.3,2.3,1.0,1.8,1.5,25%,25%,0%,태오로지스
322393,(재)사랑의장기기증운동본부,1.8,27,1.8,2.2,2.6,1.6,2.0,1.4,11%,11%,0%,사랑의장기기증운동본부
303323,에덴산업(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,에덴산업
37474,동양철관(주),2.7,77,2.7,2.7,2.8,2.3,2.5,2.1,19%,40%,6%,동양철관
332299,(주)장흥비아이티,1.4,11,1.4,1.3,1.2,1.2,1.4,1.5,0%,18%,0%,장흥
390342,(주)에이올코리아,2.3,12,2.3,2.6,3.3,2.1,2.2,1.7,33%,17%,8%,에이올코리아
183852,늘푸른조경(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,늘푸른조경
210205,한빛테크원(주),3.5,2,3.5,2.0,2.0,2.5,3.0,3.0,50%,50%,0%,한빛테크
51832,(주)태성정보통신,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,태성정보통신
457157,(주)제이현정보시스템,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,이현정보시스템
347429,(주)엔지티씨엔씨,1.5,4,1.5,1.8,2.5,1.8,2.3,1.5,0%,0%,0%,엔지티씨엔씨
254190,진성종합식품(주),1.0,1,1.0,1.0,2.0,3.0,3.0,1.0,0%,0%,0%,진성종합식품
200649,효성산업개발(주),4.0,1,4.0,3.0,4.0,3.0,4.0,3.0,0%,100%,0%,효성산업개발
201020,광민건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,광민건설
214076,신진텍스(주),1.2,9,1.2,1.4,1.4,1.0,1.7,1.2,0%,11%,0%,신진텍스
194318,우성오토콘(주),2.1,32,2.1,2.4,1.8,2.2,2.3,2.1,13%,41%,13%,오토콘
420917,(주)파주비앤알,3.0,1,3.0,3.0,4.0,2.0,3.0,2.0,0%,0%,0%,파주비앤알
130598,다이헨한국(주),3.0,6,3.0,3.0,3.8,2.5,1.8,1.7,33%,33%,0%,다이헨한국
322933,이현정보기술(주),3.0,1,3.0,4.0,3.0,3.0,3.0,3.0,0%,0%,0%,이현정보기술
419911,에이치디정공(주),3.5,2,3.5,3.0,3.0,3.0,3.0,3.0,100%,100%,0%,에이치디정공
75507,(주)비티원,2.4,58,2.4,2.1,2.5,2.5,2.6,2.4,17%,31%,5%,비티원
376064,(주)지아이비타,2.3,42,2.3,2.8,3.2,2.4,2.3,1.7,17%,31%,10%,지아이비타
284915,보성가스텍(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,보성가스
411272,아너스피플(주),3.8,24,3.8,2.9,3.6,3.3,2.3,2.9,46%,50%,13%,아너스피플
241013,새중앙토건(주),3.0,1,3.0,2.0,3.0,3.0,1.0,2.0,0%,0%,0%,중앙토건
376364,(주)미토이뮨테라퓨틱스,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,미토이뮨테라퓨틱스
157630,티피에스코리아(주),2.0,8,2.0,2.1,1.8,2.3,2.1,1.6,13%,0%,0%,티피에스코리아
446398,밸류플러스테크놀러지(주),3.0,1,3.0,3.0,1.0,1.0,2.0,1.0,0%,0%,0%,밸류플러스테크놀러지
159754,화승산업개발(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,화승산업
264327,디자인일상(주),2.2,6,2.2,2.3,2.5,2.3,2.7,2.2,33%,33%,33%,디자인일상
179162,강남건설(주),3.0,4,3.0,3.5,3.3,2.5,2.8,2.8,25%,25%,25%,강남건설
265654,서안종합건설(유),1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0%,0%,0%,서안종합건설
224149,아이앤케이신항만(주),2.2,10,2.2,2.3,2.8,2.5,1.8,2.1,30%,20%,10%,아이앤케이신항만
451342,(주)스탠다드컴퍼니,2.1,7,2.0,2.9,3.0,2.0,2.6,1.9,14%,14%,0%,스탠다드컴퍼니
297336,프로콘시스템(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,프로콘시스템
278989,자승건설(주),2.0,2,2.0,1.0,3.5,3.0,3.5,1.0,0%,0%,0%,자승
63659,(주)엠쓰리모바일,2.3,132,2.3,2.0,2.8,2.4,2.4,1.8,17%,20%,5%,리모
62795,예선테크(주),2.5,45,2.5,2.2,2.5,2.6,2.6,2.6,33%,64%,11%,선테크
133554,대한에프앤비(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대한에프앤비
105722,선우실업(주),2.4,76,2.4,2.0,2.7,2.2,2.3,2.0,17%,32%,12%,선우
296231,대성테크놀러지(주),2.0,1,2.0,1.0,3.0,3.0,3.0,3.0,0%,0%,0%,대성테크놀러지
82898,다산네트웍스(주),2.5,143,2.5,2.1,2.7,2.6,2.5,1.9,23%,33%,10%,다산네트웍스
